PRODUCT SYMBOL,CONTRACT MONTH,CONTRACT YEAR,CONTRACT DAY,CONTRACT,PRODUCT DESCRIPTION,OPEN,HIGH,HIGH AB INDICATOR,LOW,LOW AB INDICATOR,LAST,LAST AB INDICATOR,SETTLE,PT CHG,EST. VOL,PRIOR SETTLE,PRIOR VOL,PRIOR INT,TRADEDATE
A38,12,2016,,A38Z16,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.82125,UNCH,0,.82125,,10,12/21/2016
A38,01,2017,,A38F17,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.84000,UNCH,0,.84000,,16,12/21/2016
A38,02,2017,,A38G17,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.85000,UNCH,0,.85000,,20,12/21/2016
A38,03,2017,,A38H17,Aluminium A-380 Alloy (platts) Futures,,,,,,,,.85000,UNCH,0,.85000,,20,12/21/2016
AEP,12,2016,,AEPZ16,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,74.23,+.09,0,74.14,,784,12/21/2016
AEP,01,2017,,AEPF17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+1.00,50,81.00,,390,12/21/2016
AEP,02,2017,,AEPG17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+1.00,50,81.00,,390,12/21/2016
AEP,03,2017,,AEPH17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+1.00,50,81.00,,390,12/21/2016
AEP,04,2017,,AEPJ17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+3.00,50,79.00,,398,12/21/2016
AEP,05,2017,,AEPK17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+3.00,50,79.00,,398,12/21/2016
AEP,06,2017,,AEPM17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+3.00,50,79.00,,408,12/21/2016
AEP,07,2017,,AEPN17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+2.00,50,80.00,,345,12/21/2016
AEP,08,2017,,AEPQ17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+2.00,50,80.00,,345,12/21/2016
AEP,09,2017,,AEPU17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+2.00,50,80.00,,330,12/21/2016
AEP,10,2017,,AEPV17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+2.00,50,80.00,,355,12/21/2016
AEP,11,2017,,AEPX17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+2.00,50,80.00,,355,12/21/2016
AEP,12,2017,,AEPZ17,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,82.00,+2.00,50,80.00,,355,12/21/2016
AEP,01,2018,,AEPF18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
AEP,02,2018,,AEPG18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
AEP,03,2018,,AEPH18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
AEP,04,2018,,AEPJ18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
AEP,05,2018,,AEPK18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
AEP,06,2018,,AEPM18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
AEP,07,2018,,AEPN18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
AEP,08,2018,,AEPQ18,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,88.00,UNCH,0,88.00,,10,12/21/2016
